requirement_id,requirement_text,source,workstream,module(s),planned_changes,acceptance_tests,proof_artifacts,status
REQ-011,"Regime-drought contradiction detection",CMD,W5,"main.py:2755-2758; drought state management","Add contradiction detector: if regime=EXPANSION and drought=true → fire CONTRADICTION_ALERT","T-UNIT-010: Set regime=EXPANSION + drought=true → verify alert fired; T-UNIT-011: Set regime=COMPRESSION + drought=true → verify no alert (expected)","Log: REGIME_DROUGHT_CONTRADICTION; Telegram alert",planned
REQ-012,"Drought state machine (WATCH → DROUGHT → CRITICAL → CLEARED)",CMD,W5,"main.py; new drought_manager module","Implement explicit drought state machine with cycle counters (10/20/60 cycles for escalation)","T-UNIT-012: Simulate 20 empty scan cycles → verify DROUGHT state; T-UNIT-013: Generate qualifying signal during DROUGHT → verify CLEARED","artifacts/drought.json state field; transition log",planned
REQ-013,"PDF desk notes 100/100 quality — lane separation",CMD,W6,"delivery/pdf_v2_momentum.py; delivery/pdf_v2_risk.py","Add pre-flight QA audit: verify no cross-contamination between PDF1 (momentum) and PDF2 (risk)","T-PDF-001: Generate PDF1 → verify zero risk-only sections; T-PDF-002: Generate PDF2 → verify zero momentum-only sections","QA audit log; PDF files with PASS/FAIL watermark",planned
REQ-014,"PDF as-of timestamps on every ticker section",CMD,W6,"delivery/pdf_v2_momentum.py; delivery/pdf_v2_risk.py","Add provenance as_of timestamp to every ticker section in PDF output","T-PDF-003: Generate PDF → verify every ticker section has timestamp","PDF visual inspection; automated PDF parser test",planned
REQ-015,"PDF count consistency (stated count matches actual items)",CMD,W6,"delivery/pdf_v2_momentum.py; delivery/pdf_v2_risk.py","Add count verification: if PDF says N items, assert exactly N items follow","T-PDF-004: Generate PDF with 3 TIER_1 → verify section lists exactly 3","QA audit log; PDF comparison test",planned
REQ-016,"PDF closest misses section",CMD,W6,"delivery/pdf_v2_momentum.py","Add section showing top 3 signals that almost qualified with rejection reasons","T-PDF-005: Generate PDF → verify closest misses section present with 1-3 entries","PDF visual inspection",planned
REQ-017,"War Room — implement 6 missing API endpoints",COMPACT,W7,"api.py; main.py","Implement: /api/scan_health, /api/opportunity, /api/exits, /api/telegram/events, /api/consistency, /api/copilot/query","T-PW-001: Call each endpoint → verify 200 response with correct schema; T-PW-002: Verify dashboard panels render data","API response samples; Playwright screenshots",planned
REQ-018,"War Room — data freshness indicators per panel",COMPACT,W7,"dashboard/frontend/src/app/page.tsx; lib/api.ts","Add per-panel freshness badge (green/yellow/red) based on last-update timestamp vs expected interval","T-PW-003: Stop API → verify panels show red freshness; T-PW-004: Normal operation → verify green","Screenshots; console error log (should be empty)",planned
REQ-019,"War Room — connected/disconnected indicator and system mode badge",COMPACT,W7,"dashboard/frontend/src/app/page.tsx:241-247","Verify existing implementation; add reconnection retry indicator","T-PW-005: Disconnect WebSocket → verify 'DISCONNECTED' banner appears within 5s","Screenshot of disconnected state",planned
REQ-020,"Data vendor migration — Polygon/IBKR evaluation",COMPACT,W8,"New module: data/polygon_provider.py; data/ibkr_provider.py","Evaluate Polygon ($29/mo) for US data, IBKR for LSE real-time. Keep yfinance as fallback.","T-INT-006: Fetch same ticker from Polygon and yfinance → verify prices within 0.1%","Evaluation report; cost comparison table",planned
REQ-021,"yfinance fallback with FALLBACK_DATA provenance flag",COMPACT,W8,"Data fetch layer","When primary provider fails, fallback to yfinance with provenance flag FALLBACK_DATA","T-INT-007: Disable primary provider → verify yfinance fallback activates with correct flag","Provenance records showing fallback",planned
REQ-022,"5-year historical backfill for research DB",COMPACT,W9,"New: data/research_db.py","Build SQLite research DB with 5yr daily + 1yr intraday for all CORE tickers + corporate actions","T-INT-008: Query research DB for any CORE ticker → verify 5yr daily data present","research.db file; row count validation",planned
REQ-023,"Corporate actions adjustment (splits/dividends/delistings)",COMPACT,W9,"data/research_db.py; uk_isa/lse_registry.py","Apply corporate action adjustments to historical data; track delisting events","T-UNIT-014: Inject known split → verify historical prices adjusted correctly","Adjusted price comparison report",planned
REQ-024,"Universe governance — CORE-first compute budget allocation",COMPACT,W10,"main.py:2383-2389 (continuous scan); settings.yaml","Enforce compute budget: CORE 70% (60s), PEER 20% (180s), FULL_SCAN 10% (600s)","T-PERF-001: Measure scan timing → verify CORE scans complete within 45s; T-PERF-002: Verify PEER scan at 180s interval","Timing logs; scan_health.json intervals",planned
REQ-025,"Universe changes require approval (prompt-before-changes)",COMPACT,W10,"config/universe.yaml; settings.yaml universe sections","Add approval gate: any universe.yaml change triggers APPROVAL_REQUIRED state; system blocks until approved","T-INT-009: Change universe.yaml → verify system enters APPROVAL_REQUIRED; T-INT-010: Approve → verify system resumes","Approval log; universe_change_history table",planned
REQ-026,"Low-liquidity handling — 25% normal size, wider spread tolerance",COMPACT,W10,"Risk sizer; settings.yaml","Flag tickers with avg_vol < 1000 as VERY_LOW_LIQUIDITY; reduce size to 25%; widen spread tolerance","T-UNIT-015: Signal for VERY_LOW_LIQUIDITY ticker → verify 25% size applied","Signal log showing reduced sizing",planned
REQ-027,"Learning loop outcome SLA — 24h resolution deadline",COMPACT,W11,"main.py:2392-2398 (outcome resolver)","Add 24h timeout: unresolved signals after 24h → TIMEOUT outcome with reason logged","T-UNIT-016: Create signal 25h ago with no outcome → verify TIMEOUT assigned","outcomes table showing TIMEOUT entries",planned
REQ-028,"Strategy drift detection — auto-disable on poor performance",COMPACT,W11,"Learning engine; strategies","Monitor rolling win rate per strategy. <35% over 20 trades → DRIFT alert. <25% over 30 trades → auto-disable + DEFENSIVE mode","T-UNIT-017: Inject 25 losing trades → verify DRIFT alert at trade 20; T-UNIT-018: Inject 30 losing trades → verify strategy disabled","drift_alerts table; strategy_status log",planned
REQ-029,"Learning loop readiness gates — 100+ outcomes before live influence",COMPACT,W11,"Learning engine","Block learning-based adjustments until: 100+ resolved outcomes, 3+ months data, manual edge ledger review","T-INT-011: System with 50 outcomes → verify learning adjustments blocked; T-INT-012: System with 150 outcomes → verify learning adjustments available","readiness_gate_status in system_state.json",planned
REQ-030,"Run manifests for every session",COMPACT,W12,"main.py; new run_manifest module","Generate run manifest file per session: config hash, git commit, timestamps, signals, PnL, errors","T-INT-013: Complete a session → verify manifest file created with all required fields","manifests/ directory with dated files",planned
REQ-031,"Change control — PR + backtest + paper trial required",COMPACT,W12,"Process (not code)","Require: PR description, 30-day backtest, 5-session paper trial, sign-off for any settings/strategy change","T-PROC-001: Attempt unauthorized config change → verify system rejects (config hash mismatch alert)","Change log; PR links; backtest reports",planned
REQ-032,"Paper→Limited Live migration gates (PAPER STABLE→PAPER READY→LIMITED LIVE)",COMPACT,W12,"Process + system gates","Define gate criteria: PAPER STABLE (30 sessions no crashes); PAPER READY (60 sessions, WR≥40%, Sharpe≥0.5, DD≤10%); LIMITED LIVE (10% capital)","T-PROC-002: Verify gate checklist exists and is auditable","Gate checklist document; session logs proving criteria met",planned
REQ-033,"Score=0 signals must never reach Telegram",CMD,W1,"main.py qualification pipeline; telegram_bot.py:731-759","Add explicit score≥10 check in _gated_send() validation gate","T-UNIT-019: Create signal with score=0 → verify BLOCKED; T-UNIT-020: Create signal with score=10 → verify PASS","Gate rejection log showing score=0 blocked",planned
REQ-034,"Confidence must be bounded [0,100] — reject out-of-range",CMD,W2,"main.py:1011-1012,1505-1508","Add confidence bounds assertion after every adjustment","T-UNIT-021: Set confidence=101 after AI enhancement → verify clamped to 100; T-UNIT-022: Set confidence=-1 → verify clamped to 0","Unit test results",planned
REQ-035,"Cross-artifact consistency check (system_state vs plays vs Telegram)",CMD,W6,"New: consistency_checker module","Build automated checker: regime in system_state must match regime in plays.json and Telegram message","T-INT-014: Generate scan → verify all 3 artifacts agree on regime, drought, signal count","consistency_report.json per session",planned
REQ-036,"Soft gates should log and flag rather than silently continue",CMD,W1,"main.py:1014-1016,1131-1133","Change SOFT gates to log WARNING + attach 'SOFT_GATE_BYPASS' flag to signal. Signal still proceeds but flag is visible.","T-INT-015: Force confluence scorer crash → verify signal carries SOFT_GATE_BYPASS flag","Signal log showing flag; Telegram message showing [DEGRADED] label",planned
REQ-037,"CORS origins must include production domain",COMPACT,W7,"api.py:100","Add production domain to CORS whitelist; make configurable via env var","T-PW-006: Access War Room from production domain → verify no CORS error","Browser console log (no CORS errors)",planned
REQ-038,"Dashboard ticker lists must be dynamic from API not hardcoded",COMPACT,W7,"analysis/page.tsx:60-80","Replace hardcoded ISA_FUNDS and TICKERS arrays with API call to /api/isa-universe","T-PW-007: Change universe → verify dashboard reflects change without code deploy","Screenshot showing updated tickers",planned
REQ-039,"Feature flags for all new changes",CMD,W12,"settings.yaml","Add feature_flags section: sanity_gate_v2, provenance_tracking, drought_escalation, regime_unification, etc.","T-UNIT-023: Set flag=false → verify old behavior; T-UNIT-024: Set flag=true → verify new behavior","settings.yaml feature_flags section",planned
REQ-040,"Rollback plan per workstream with LKG tagging",CMD,W12,"Git tags; Docker tags; settings backup","Tag every successful deployment as lkg-YYYYMMDD-HHMM. Document per-workstream rollback steps.","T-PROC-003: Execute rollback to LKG → verify system returns to previous behavior within 5 min","Git tags; rollback execution log",planned
REQ-041,"EC2 deployment via rsync — code must be deployable to production EC2",COMPACT,W0,"Deployment pipeline (rsync, Docker)","Document rsync procedure with --rsh flag for Mac compatibility; pre-deploy checklist; post-deploy health verification","T-DEPLOY-001: rsync to EC2 → verify all files present; T-DEPLOY-002: docker compose build nzt48 → verify exit 0","rsync transfer log; docker build log; /api/health 200 response",planned
REQ-042,"Docker rebuild with lxml fix — nzt48 image must build successfully",COMPACT,W0,"requirements.txt; Dockerfile; docker-compose.yml","lxml==4.9.0 → lxml==5.1.0 (already applied); verify build completes; verify pip install succeeds","T-DEPLOY-003: docker compose build nzt48 → verify success; T-DEPLOY-004: docker compose up -d nzt48 → verify container healthy","Docker build log; docker ps showing nzt48 healthy; /api/health response",planned
REQ-043,"Container startup and health verification — nzt48 and dashboard must start cleanly",COMPACT,W0,"docker-compose.yml; api.py; dashboard","Start nzt48 container; wait for healthcheck; start dashboard container; verify all endpoints","T-DEPLOY-005: curl /api/health → 200; T-DEPLOY-006: curl dashboard :3001 → 200; T-DEPLOY-007: verify WebSocket /ws/live connects","docker ps output; curl response bodies; dashboard screenshot",planned
REQ-044,"Telegram bot token end-to-end verification",COMPACT,W0,"delivery/telegram_bot.py; TELEGRAM_BOT_TOKEN env var","Send test message via bot token to target channel; verify delivery; verify bot can receive /status command","T-DEPLOY-008: Send test message → verify received in channel; T-DEPLOY-009: Send /status → verify bot responds","Telegram message screenshot; bot response screenshot",planned
REQ-045,"ISA-eligible ticker expansion (v2 + v3) — 40 additional tickers identified and verified",COMPACT,W10,"config/settings.yaml; artifacts/universe/expansion_v2_verification.json; artifacts/universe/expansion_v3_verification.json","expansion_v2 (20 tickers) and expansion_v3 (20 tickers) already added to settings.yaml; verify all are valid LSE tickers; verify none are delisted","T-UNIV-001: Fetch OHLCV for all 40 expansion tickers → verify non-empty; T-UNIV-002: Verify all tickers appear in lse_registry","expansion_v2_verification.json; expansion_v3_verification.json; yfinance fetch results",planned
REQ-046,"EC2 config directory clean of Mac junk files",COMPACT,W0,"EC2 /home/ubuntu/nzt48-signals/config/; EC2 /home/ubuntu/nzt48-signals/artifacts/universe/","Remove all non-NZT files from config/ and artifacts/universe/ on EC2 (Mac home directory contamination from bad rsync)","T-DEPLOY-010: ls EC2 config/ → only settings.yaml, holdings.yaml, universe.yaml, __init__.py, change_log.py, secrets.py, lanchor_ui/; T-DEPLOY-011: ls EC2 artifacts/universe/ → only *.json files","ls output from EC2 showing clean directories",completed
REQ-047,"Playwright screenshot evidence pack — every War Room panel screenshotted",CMD,W7,"dashboard/frontend/src/app/page.tsx; Playwright test suite","Add systematic test that clicks every panel tab/section and captures screenshot for PM/IC evidence pack","T-PW-019: Run Playwright suite → verify screenshots directory contains 30+ panel screenshots; T-PW-020: Verify zero console errors across all screenshots","screenshots/ directory with dated panel images; console error log (should be empty)",planned
REQ-048,"Forensic evidence snapshots — actual artifact JSON and Telegram message excerpts",CMD,W1,"artifacts/system_state.json; artifacts/plays.json; Telegram message log","Capture and archive current artifact snapshots as forensic evidence baseline; add to FORENSICS_MAP.md as appendix","T-FORENSIC-001: Archive current system_state.json → verify snapshot dated and stored; T-FORENSIC-002: Archive sample Telegram messages → verify stored","forensics/baseline/ directory with dated snapshots",planned
REQ-049,"Go-Live Gate Page — single-page fund-manager yes/no readiness screen with 8 mandatory checks",CMD,W7,"api.py (new /api/go-live-gate endpoint); dashboard /gate route","Implement /api/go-live-gate endpoint with 8 checks (SystemState, SanityGate, DataHealth, TelegramTape, Dedupe, WarRoomQA, PDFAudit, ScanSLA); self-validating gate with error-as-FAIL semantics","T-GATE-001: All systems healthy → go_live=true; T-GATE-002: One check fails → go_live=false; T-GATE-003: Data source missing → check reports FAIL not silent pass; T-GATE-004: Gate page auto-refreshes every 30s","go_live_gate_log.jsonl; gate_pass.png screenshot; gate_fail.png screenshot",planned
REQ-050,"Telegram SYSTEM HEALTH only mode on DEGRADED/HALTED — suppress signals when data quality is unreliable",CMD,W4,"delivery/telegram_bot.py; main.py system mode management","Add message filtering: DEGRADED mode → only [SYSTEM] and [CRITICAL ERROR] sent; HALTED mode → same; all other message types suppressed and logged","T-MODE-001: Set mode=DEGRADED → send SIGNAL → verify suppressed; T-MODE-002: Set mode=DEGRADED → send [SYSTEM] → verify delivered; T-MODE-003: Mode NORMAL→DEGRADED → verify transition message sent","telegram_debug.jsonl showing SUPPRESSED_DEGRADED actions; mode transition messages in Telegram",planned
REQ-051,"War Room mandatory wiring proof pack — all endpoints 200 + Playwright screenshots + console zero-errors",CMD,W7,"api.py (all 36 endpoints); Playwright test suite; dashboard","Assemble proof pack: all_endpoints_200.json + schema_validation.json + 36 panel screenshots + console_errors.txt (empty) + playwright_results.json + performance_bench.json + WebSocket test + Go-Live Gate screenshot","T-PROOF-001: Run proof pack generator → verify all 8 artifacts present; T-PROOF-002: Verify all_endpoints_200.json has 36 entries all status 200; T-PROOF-003: Verify console_errors.txt is empty","artifacts/wiring_proof/ directory with all 8 artifacts; PM/IC review checklist signed",planned
REQ-052,"Division-by-zero crash prevention — guards at all 5 identified locations",FAILURE,W2,"pdf_v2_risk.py:399; pdf_v2_momentum.py:429; volatility_regime.py:254; predictive_scoring.py:867-868; lse_registry.py:331-333","safe_divide() utility with configurable fallback; guards at each location returning safe defaults","T-UNIT-011-021: Inject zero denominators at each location → verify no crash; verify fallback value returned","guard_audit.log showing fallback activations; unit test results",planned
REQ-053,"Data staleness/freshness failure prevention — stale VIX/price used in decisions",FAILURE,W3,"All data fetch paths; provenance module","TTL enforcement per field (Price: 90s, VIX: 5min, Regime: 5min); reject stale data before use; provenance chain per signal","T-UNIT-007-008: Inject stale data → verify rejection; T-PERF-004-006: Verify stale feed alerts","provenance_chain JSON; STALE_DATA_REJECTED log entries",planned
REQ-054,"Provider down/fallback failure prevention — graceful degradation when data providers fail",FAILURE,W3+W8,"Data fetch layer; provenance module; data vendor abstraction","Provider health monitoring (3 failures → DOWN); automatic fallback to yfinance with FALLBACK_DATA flag; DEGRADED mode entry on >3 providers down","T-INT-006-007: Disable primary → verify fallback; T-MODE-001: >3 providers down → verify DEGRADED mode","provenance records showing FALLBACK_DATA; provider_health_log.json",planned
REQ-055,"Telegram delivery failure prevention — duplicate sends, spam, lost kill switch state",FAILURE,W4,"delivery/telegram_bot.py; main.py:3678","Persistent dedupe (DB-backed); persistent kill/pause state; 5-min quiet mode on restart; spam kill persisted","T-REG-009-013: Restart scenarios; T-INT-019-022: State persistence tests","telegram_state DB table; quiet_mode log; spam_kill_state persistence",planned
REQ-056,"PDF generation failure prevention — div/0 crashes, cross-PDF contradictions, QA failures",FAILURE,W6,"delivery/pdf_v2_momentum.py; delivery/pdf_v2_risk.py; pdf_qa_checker.py","Pre-flight 7-check QA gate; DRAFT watermark on failure; cross-artifact consistency checker; div/0 guards in PDF code","T-PDF-001-018: Full PDF QA suite; T-INT-006-009: Cross-PDF consistency","pdf_qa_log.jsonl; consistency_report.json; DRAFT watermarked PDFs when QA fails",planned
REQ-057,"Startup readiness gate — 8-check pre-flight on boot and session window",ADDENDUM,W13,"core/startup_gate.py; main.py NZT48Orchestrator.__init__()","8 mandatory checks: Docker version, directories, DataHub, timezone, War Room health, Telegram token, write permissions, schema validation. Gate output: READY/DEGRADED/HALTED","T-STARTUP-001 to T-STARTUP-008","artifacts/readiness_gate.json with timestamped check results",planned
REQ-058,"Wiring test matrix — 10 must-be-connected paths verified",ADDENDUM,W13,"All cross-component integration paths","Define 10 wiring paths (tick→engine→artifacts, engine→telegram, engine→PDF, artifacts→warroom, learning loop, EC2/Docker, schedulers, regime source, data health, drought state) with test/proof/recovery per path","T-WIRE-001 to T-WIRE-010","wiring_test_results.json per run",planned
REQ-059,"Continuous integrity monitor — 5-min wiring drift detection",ADDENDUM,W13,"core/integrity_monitor.py; APScheduler job","Lightweight monitor every 5min checking: scan SLA, artifact freshness, war room freshness, telegram suppression, PDF audit, provider health. Detect drift signatures: DRIFT_ENGINE_ARTIFACT, DRIFT_ARTIFACT_WARROOM, etc.","T-INTEG-001 to T-INTEG-010","artifacts/integrity_status.json",planned
REQ-060,"Self-healing ops — safe auto-actions vs requires human approval",ADDENDUM,W13,"core/self_healing.py","Allowed auto: reload config cache, restart War Room (gated), rotate logs, re-run readiness checks. Requires human: change thresholds, change universe, disable data health, modify feature flags, restart engine, Docker ops, kill switch","T-HEAL-001 to T-HEAL-008","self_healing_log.jsonl with action_id per action",planned
REQ-061,"Artifact single source policy — no recomputation drift",ADDENDUM,W13,"All output rendering paths (Telegram, PDF, War Room)","Telegram/PDFs/War Room MUST render from same artifacts for given run_id. No independent data fetches during render. If artifacts missing → output blocked","T-SSP-001 to T-SSP-006","Run manifest per cycle; cross-check run_id in API vs artifact",planned
REQ-062,"Run manifest per scan cycle",ADDENDUM,W13,"core/run_manifest.py; signal_engine/pipeline_runner.py","Manifest includes: run_id, git_hash, config_hash, universe_hash, providers_used, as_of_times, schema_versions, plays_count, drought_flag","T-SSP-003: Verify manifest generated per cycle with all required fields","artifacts/manifests/manifest_{run_id}.json",planned
REQ-063,"EC2/Docker drift guards — container parity check",ADDENDUM,W13,"Deploy pipeline; scripts/parity_check.sh","Compare checksums of critical files between host and container after every deploy. PASS: all match. FAIL: alert + block","T-DRIFT-001 to T-DRIFT-006","checksum_comparison.json",planned
REQ-064,"No host-only production code policy",ADDENDUM,W13,"Deploy pipeline; ops governance","All production code must be inside Docker container. Config bind-mounted (allowed). .py edited on host MUST trigger docker compose build. Editing inside container FORBIDDEN","T-DRIFT-003: Verify no .py files differ between host and container","parity_check_results.json",planned
REQ-065,"War Room System Wiring panel",ADDENDUM,W13,"api.py (new /api/system-wiring endpoint); dashboard page.tsx","7 indicators: DataHub OK, Engine OK, Artifacts OK, Telegram OK, PDF OK, Learning OK, Scheduler OK. Green/Amber/Red with last success timestamps and reason codes","T-PW-021 to T-PW-023","Screenshot of wiring panel; API response sample",planned
REQ-066,"One-click evidence pack export",ADDENDUM,W13,"api.py (new /api/evidence-pack endpoint); dashboard button","ZIP of artifacts/*.json + reports/*.pdf + telegram_debug.jsonl (24h) + readiness_gate.json + integrity_status.json + manifests/ (today)","T-LUX-001: Click export → verify ZIP contains all expected files","evidence_pack_YYYYMMDD.zip",planned
REQ-067,"Deterministic replay mode",ADDENDUM,W13,"core/replay_engine.py","Re-run historical day from stored artifacts + research DB. Isolated: no Telegram/PDF sends. Compare: what signals WOULD have been generated with current code","T-LUX-002: Replay yesterday → verify output matches expectations","replay_results_{date}.json",planned
REQ-068,"Incident library",ADDENDUM,W13,"core/incident_library.py; data/incidents.jsonl","Every integrity alert, wiring drift, startup failure becomes incident record with: incident_id, timestamp, type, severity, description, evidence_snapshot, resolution","T-LUX-003: Trigger integrity alert → verify incident record created","data/incidents.jsonl entries",planned
REQ-069,"Manager one-pager (auto-generated daily brief)",ADDENDUM,W13,"delivery/manager_brief.py","Single-page PDF at 07:00 and 22:00 UK: wiring status, top signals, drought, risks, P&L, Go-Live Gate status. Sent as [DAILY BRIEF] Telegram message","T-LUX-004: Verify brief generated at scheduled time with all sections","data/reports/manager_brief_YYYYMMDD.pdf",planned
REQ-070,"SLA dashboard",ADDENDUM,W13,"api.py (new /api/sla-dashboard endpoint); dashboard panel","Real-time SLA: scan tick (>95% within 45s), outcome resolution (>90% within 24h), PDF audit (100% pass), Telegram suppression (100%), provider uptime (>99%)","T-LUX-005: Verify SLA metrics displayed and colour-coded","API response with SLA metrics",planned
REQ-071,"Change impact simulator",ADDENDUM,W13,"core/change_simulator.py","Dry-run code/config changes against yesterday's artifacts. Report: N wiring paths broken, M signals affected, K regime changes","T-LUX-006: Apply test change → verify impact report generated","change_impact_report.json",planned
REQ-072,"First-thing readiness checklist visible in War Room at 06:55 and 13:25 UK",ADDENDUM,W13,"dashboard page.tsx; api.py","Display startup readiness gate results as a prominent checklist at session window times","T-PW-024: At 06:55 UK → verify readiness checklist visible in War Room","Screenshot showing checklist",planned
REQ-073,"Integration contracts updated with W13 interface definitions",ADDENDUM,W13,"annexes/INTEGRATION_CONTRACTS.md","Add W13-specific invariants: startup gate contract, integrity monitor contract, single-source contract, parity check contract","T-WIRE-001: Verify all contract invariants testable","Integration test results",planned
